Student_ID,Student_Name,University,Program,Graduation_Year,Region,Gender,Caste_Category,Socioeconomic_Status,Location_Type,Employment_Status,Industry,Avg_Starting_Salary,Employment_Rate,Avg_Time_to_Employment_months,Job_Satisfaction_Score,Tuition_Fees,Avg_Debt,Scholarship_Amount,ROI_Score,Career_Services_Score,Career_Guidance_Hours,Internship_Rate,Mentorship_Program,Alumni_Network_Score,Networking_Events_Attended
14,Vivaan Gupta,IIM Ahmedabad,Data Science,2023,North,Male,ST,High,Rural,Employed,Education,696912,0.9,3.2,6.8,258618,198997,17601,2.89,7.8,27,0.74,No,9.7,10
15,Ishaan Varma,Anna University,Data Science,2018,East,Male,General,High,Rural,Employed,IT,679949,0.9,1.3,9.8,499759,342614,167015,2.04,9.9,24,0.84,No,7.5,2
16,Meera Patel,Christ University,Business Administration,2020,East,Male,ST,Low,Urban,Employed,IT,989487,0.97,3.2,9.7,525190,212722,65412,2.15,9.0,27,0.92,No,8.1,3
17,Sai Menon,Amity University,Economics,2023,West,Male,OBC,High,Rural,Employed,Healthcare,595689,0.86,3.5,9.5,429766,163138,28336,1.48,8.1,25,0.76,No,7.1,3
18,Aarav Kumar,BITS Pilani,Business Administration,2023,West,Female,General,Middle,Rural,Employed,Consulting,767648,0.86,3.4,7.7,178941,64001,34237,5.3,7.5,18,0.71,No,9.9,8
19,Aditya Chopra,Amity University,Marketing,2022,North,Male,SC,Low,Rural,Employed,Healthcare,754109,0.89,3.0,7.3,531913,274280,174125,2.11,9.8,13,0.88,No,8.9,4
20,Meera Nair,IIT Kanpur,Economics,2022,West,Female,OBC,High,Rural,Employed,IT,877869,0.91,2.5,9.2,468635,207819,112692,2.47,9.4,20,0.82,No,8.8,2
21,Vivaan Das,Delhi University,Marketing,2019,South,Female,General,Low,Rural,Employed,Manufacturing,1355662,0.92,2.2,7.6,175611,56741,62277,11.96,8.8,24,0.8,Yes,9.3,2
22,Aarav Iyer,SRM University,Economics,2022,North,Male,OBC,High,Rural,Employed,Healthcare,1038727,0.9,3.2,8.0,277253,146453,105043,6.03,8.4,27,0.85,No,8.6,8
23,Ira Menon,Manipal University,Psychology,2023,West,Female,SC,Low,Rural,Unemployed,,0,0.82,,,400867,175298,20311,0.0,9.1,20,0.78,Yes,7.7,3
24,Myra Nair,Manipal University,Civil Engineering,2021,West,Male,ST,Middle,Rural,Employed,IT,947693,0.88,3.8,7.2,366881,262850,102099,3.58,9.7,10,0.91,No,8.8,6
25,Sara Chatterjee,Manipal University,Biotechnology,2021,West,Male,ST,Low,Rural,Employed,IT,834273,0.95,2.8,8.7,557746,261061,178032,2.2,9.4,24,0.93,Yes,9.2,1
26,Sara Nair,Christ University,Psychology,2019,East,Male,General,Middle,Rural,Employed,Public Sector,776870,0.88,3.2,6.2,492722,230963,99385,1.98,7.8,23,0.76,Yes,9.9,5
27,Rohan Reddy,SRM University,Computer Science,2019,South,Male,OBC,Low,Urban,Employed,Manufacturing,739779,0.9,3.9,8.9,646564,410393,147841,1.48,9.8,18,0.89,Yes,8.4,2
28,Ananya Iyer,Jadavpur University,Computer Science,2022,North,Female,ST,Middle,Urban,Employed,Healthcare,707872,0.86,2.3,7.5,256851,166592,39529,3.26,9.6,13,0.9,Yes,8.8,8
29,Diya Sharma,Christ University,Economics,2023,West,Female,General,Middle,Rural,Employed,Manufacturing,1011424,0.87,3.2,7.1,606641,235418,136772,2.15,9.9,27,0.89,No,7.8,3
30,Vivaan Singh,Amity University,Psychology,2018,East,Male,ST,High,Rural,Employed,Public Sector,864816,0.89,2.5,6.8,490802,191864,55605,1.99,8.1,18,0.92,No,7.8,3
31,Sara Mehta,Delhi University,Civil Engineering,2020,North,Female,ST,Middle,Urban,Employed,Healthcare,722983,0.97,2.7,7.4,574045,370771,80270,1.46,9.0,27,0.83,No,8.1,7
32,Ishaan Das,IIM Bangalore,Civil Engineering,2019,South,Male,OBC,Middle,Urban,Unemployed,,0,0.94,,,376895,252256,72482,0.0,9.2,26,0.85,Yes,9.9,4
33,Rohan Pandey,IIT Madras,Data Science,2022,North,Male,OBC,Middle,Urban,Employed,Education,916424,0.87,1.6,6.2,282413,174795,98669,4.99,8.5,28,0.77,No,9.6,7
34,Aditya Reddy,BITS Pilani,Psychology,2018,East,Male,General,Low,Urban,Employed,Healthcare,977549,0.88,2.3,9.4,274205,158774,54548,4.45,8.8,17,0.89,No,9.4,6
35,Ananya Desai,Jadavpur University,Computer Science,2023,East,Male,OBC,High,Urban,Employed,Finance,758566,0.85,1.7,8.8,314686,132146,72350,3.13,7.2,24,0.87,No,7.0,7
36,Vivaan Gupta,Amity University,Data Science,2020,South,Male,ST,Low,Urban,Employed,Manufacturing,675304,0.92,3.1,9.8,224878,74169,40319,3.66,8.8,19,0.81,No,9.5,8
37,Meera Mehta,Anna University,Mechanical Engineering,2018,East,Male,ST,High,Rural,Employed,Finance,498369,0.88,3.0,9.7,390044,304607,150784,2.08,8.8,18,0.84,Yes,7.1,2
38,Saanvi Bose,VIT Vellore,Psychology,2020,East,Male,ST,Middle,Rural,Employed,Finance,1019929,0.88,1.9,7.3,318637,148134,90921,4.48,8.5,22,0.9,Yes,9.0,6
39,Navya Sharma,VIT Vellore,Biotechnology,2022,East,Female,ST,Low,Urban,Employed,Public Sector,1035943,0.82,3.9,8.4,613513,417185,53361,1.85,7.8,19,0.81,No,7.4,3
40,Sai Das,Delhi University,Computer Science,2018,West,Female,General,Low,Urban,Employed,Manufacturing,620358,0.88,1.4,6.8,672584,515418,153019,1.19,8.5,25,0.95,Yes,7.8,9
41,Navya Nair,Christ University,Mechanical Engineering,2020,North,Female,ST,Middle,Rural,Employed,Education,592434,0.88,2.0,6.8,663425,486045,234119,1.38,8.6,27,0.89,No,8.0,3
42,Saanvi Chopra,IIT Kanpur,Economics,2021,West,Male,SC,High,Rural,Employed,Manufacturing,784839,0.82,3.7,6.1,669389,523738,66189,1.3,8.5,13,0.92,No,8.8,2
43,Sara Nair,IIT Bombay,Psychology,2020,North,Female,SC,High,Rural,Employed,Research,1099086,0.97,3.2,7.7,482043,295684,127912,3.1,9.6,12,0.76,No,7.1,1
44,Aditya Roy,IIT Madras,Data Science,2020,East,Male,General,Middle,Urban,Employed,Consulting,867636,0.9,2.1,8.7,601607,224270,139242,1.88,8.2,15,0.74,Yes,9.0,7
45,Saanvi Nair,IIT Kanpur,Psychology,2020,West,Female,ST,Middle,Urban,Employed,Manufacturing,720272,0.94,1.6,7.5,227449,118470,45293,3.95,10.0,23,0.87,No,7.9,7
46,Aditya Gupta,BITS Pilani,Marketing,2023,North,Female,SC,High,Rural,Employed,Research,787827,0.9,2.1,8.5,437813,133116,12856,1.85,9.7,19,0.89,Yes,9.2,9
47,Ishaan Nair,VIT Vellore,Mechanical Engineering,2023,East,Male,SC,Middle,Urban,Employed,Manufacturing,516249,0.89,3.7,9.3,244511,184560,42823,2.56,9.2,14,0.9,No,7.5,4
48,Pari Das,Manipal University,Business Administration,2023,South,Male,ST,Low,Urban,Employed,Research,1008498,0.9,3.5,9.8,533542,184152,103435,2.34,7.0,24,0.79,No,8.6,1
49,Rohan Mehta,IIT Delhi,Marketing,2023,West,Female,OBC,High,Urban,Unemployed,,0,0.82,,,466869,291615,30585,0.0,7.4,19,0.95,Yes,9.8,8
50,Arjun Chopra,Anna University,Business Administration,2022,West,Female,OBC,Middle,Urban,Employed,Research,1095578,0.97,2.1,9.6,443328,140250,97132,3.16,7.7,17,0.91,Yes,8.3,10
51,Aadhya Patel,BITS Pilani,Data Science,2023,South,Male,General,Middle,Urban,Employed,IT,696345,0.9,3.4,6.9,203035,140783,31925,4.07,10.0,16,0.72,Yes,9.4,2
52,Anika Sharma,IIM Bangalore,Electrical Engineering,2019,North,Male,SC,Low,Urban,Employed,IT,638301,0.89,3.2,7.9,525644,365318,62372,1.38,8.8,18,0.71,No,7.0,5
53,Navya Desai,IIT Bombay,Psychology,2023,West,Male,General,High,Rural,Unemployed,,0,0.81,,,182663,60354,62781,0.0,9.5,13,0.82,No,8.3,1
54,Diya Bhat,IIT Madras,Mechanical Engineering,2022,West,Male,SC,High,Rural,Employed,Education,699648,0.87,3.7,7.7,625755,345902,112774,1.36,7.3,30,0.86,Yes,9.1,7
55,Myra Bose,Manipal University,Mechanical Engineering,2019,East,Female,ST,Middle,Rural,Employed,Public Sector,851423,0.9,2.7,7.3,220394,76170,11188,4.07,7.3,21,0.9,Yes,7.3,1
56,Sara Pandey,Christ University,Economics,2018,East,Male,SC,High,Rural,Employed,Healthcare,862902,0.9,3.4,9.4,312246,196205,29392,3.05,9.5,27,0.79,No,8.1,9
57,Anika Chatterjee,IIT Delhi,Marketing,2020,East,Female,General,Low,Rural,Employed,Consulting,1074372,0.82,2.6,7.5,156402,61106,9388,7.31,8.7,14,0.89,Yes,8.2,7
58,Diya Menon,IIM Ahmedabad,Data Science,2022,South,Female,General,Low,Urban,Employed,IT,835110,0.86,1.3,8.7,235544,102709,86761,5.61,8.3,23,0.77,Yes,8.8,9
59,Pari Varma,VIT Vellore,Data Science,2019,North,Male,OBC,Middle,Urban,Employed,Education,748673,0.82,2.6,6.9,371494,253981,66982,2.46,7.9,25,0.89,Yes,7.4,8
60,Aadhya Reddy,BITS Pilani,Computer Science,2022,East,Female,General,Middle,Urban,Employed,Research,726434,0.94,3.8,6.4,574068,375870,109495,1.56,7.9,20,0.74,No,8.2,1
61,Rohan Bose,Jadavpur University,Economics,2020,South,Male,ST,Middle,Rural,Employed,Manufacturing,268964,0.84,1.4,6.8,230089,127754,14945,1.25,8.6,21,0.79,Yes,7.6,9
62,Arjun Reddy,IIT Madras,Psychology,2019,East,Female,ST,High,Rural,Employed,Public Sector,869103,0.85,2.4,6.2,221603,118438,82756,6.26,7.9,11,0.79,Yes,7.8,4
63,Vivaan Reddy,Jadavpur University,Marketing,2022,West,Female,ST,High,Urban,Employed,Healthcare,890587,0.97,1.3,8.6,487145,293506,131430,2.5,7.5,13,0.9,No,7.2,0
64,Rohan Roy,Anna University,Biotechnology,2021,West,Male,SC,Middle,Rural,Employed,Consulting,766787,0.86,2.7,6.6,204909,142332,43863,4.76,7.2,22,0.77,Yes,7.3,5
65,Ananya Chopra,IIT Madras,Marketing,2019,East,Male,SC,High,Rural,Employed,Finance,611388,0.83,4.0,6.6,593973,329206,4779,1.04,8.1,16,0.79,No,7.5,4
66,Aditya Varma,SRM University,Biotechnology,2019,West,Male,SC,High,Urban,Unemployed,,0,0.87,,,320128,124985,90812,0.0,9.3,15,0.88,Yes,9.4,10
67,Rohan Roy,Jadavpur University,Data Science,2021,East,Female,OBC,High,Urban,Unemployed,,0,0.96,,,353440,171036,115499,0.0,8.4,22,0.83,No,7.8,3
68,Anika Nair,Christ University,Data Science,2020,North,Male,ST,Middle,Urban,Employed,Finance,1080791,0.94,3.7,9.7,318099,138817,118660,5.42,8.5,12,0.94,Yes,9.5,6
69,Vihaan Chopra,Delhi University,Business Administration,2018,South,Male,ST,Low,Rural,Employed,Consulting,585493,0.92,1.4,8.8,253896,182700,85191,3.47,8.0,11,0.77,No,7.4,7
70,Anika Sharma,Amity University,Mechanical Engineering,2018,West,Male,SC,Low,Urban,Employed,Education,601482,0.94,2.5,8.1,399183,179862,12517,1.56,7.7,29,0.81,Yes,8.9,10
71,Navya Desai,IIT Kanpur,Electrical Engineering,2022,South,Female,ST,Low,Rural,Employed,Research,668163,0.87,2.4,8.5,346412,218996,22443,2.06,8.6,26,0.84,Yes,8.1,5
72,Ishaan Sharma,IIM Ahmedabad,Mechanical Engineering,2019,East,Female,OBC,High,Urban,Employed,IT,800787,0.91,3.4,6.3,519412,297626,168505,2.28,7.5,24,0.95,No,9.3,7
73,Vihaan Das,IIT Kanpur,Computer Science,2022,West,Male,General,Middle,Rural,Unemployed,,0,0.85,,,646395,275788,197470,0.0,8.9,11,0.92,No,7.9,5
74,Sara Chopra,Manipal University,Psychology,2020,West,Female,SC,Low,Rural,Employed,Education,793057,0.82,2.0,7.2,236624,157009,10345,3.5,8.3,15,0.84,No,10.0,7
75,Anika Bose,IIT Madras,Psychology,2020,West,Female,ST,Low,Rural,Unemployed,,0,0.94,,,210144,70927,83560,0.0,8.2,15,0.94,Yes,8.5,10
76,Ira Patel,IIT Madras,Mechanical Engineering,2022,North,Male,SC,Middle,Rural,Employed,Manufacturing,566264,0.85,1.8,9.8,621778,481512,97521,1.08,8.3,14,0.83,No,7.2,0
77,Sai Mehta,Delhi University,Economics,2022,South,Male,SC,Middle,Rural,Employed,Education,644932,0.91,3.1,8.2,665060,266083,71160,1.09,9.6,24,0.95,No,8.4,4
78,Ananya Menon,Manipal University,Electrical Engineering,2019,South,Female,OBC,Low,Urban,Employed,Public Sector,954628,0.81,2.2,8.9,177560,85308,48353,7.39,8.4,14,0.85,Yes,9.9,7
79,Navya Bose,SRM University,Economics,2021,West,Male,OBC,Middle,Urban,Employed,Consulting,1081041,0.94,2.6,7.2,284568,210290,102270,5.93,8.7,14,0.81,Yes,8.8,2
80,Diya Gupta,IIM Ahmedabad,Biotechnology,2019,East,Female,General,Middle,Urban,Employed,Education,1078465,0.94,2.7,9.3,247966,136700,22103,4.77,8.8,15,0.86,No,8.7,0
81,Vivaan Patel,VIT Vellore,Marketing,2021,North,Female,OBC,High,Rural,Employed,Education,701313,0.88,1.6,8.4,466768,252741,179566,2.44,8.2,11,0.74,No,8.4,5
82,Diya Pandey,BITS Pilani,Electrical Engineering,2018,West,Female,General,Middle,Urban,Employed,Education,984632,0.94,3.8,8.9,621435,263463,25378,1.65,7.2,29,0.8,Yes,9.8,3
83,Sai Mehta,Delhi University,Psychology,2021,North,Female,SC,Middle,Urban,Employed,Public Sector,1141320,0.85,1.0,6.4,402422,164016,92509,3.68,7.1,29,0.92,No,7.8,2
84,Ishaan Pandey,SRM University,Economics,2020,South,Female,General,Middle,Urban,Employed,Education,974717,0.82,1.3,7.5,227103,112001,59028,5.8,9.3,29,0.87,Yes,7.8,5
85,Meera Pandey,SRM University,Electrical Engineering,2018,North,Male,ST,High,Urban,Employed,Manufacturing,929817,0.83,4.0,9.0,499218,350442,136139,2.56,8.4,26,0.73,No,8.8,4
86,Saanvi Joshi,Delhi University,Biotechnology,2020,East,Female,SC,Middle,Urban,Employed,Finance,555425,0.85,3.0,9.9,586774,347282,208864,1.47,9.7,30,0.71,No,9.6,9
87,Saanvi Gupta,Manipal University,Computer Science,2023,South,Female,OBC,High,Rural,Employed,Healthcare,924109,0.87,3.3,9.7,183104,107351,14404,5.48,7.6,23,0.74,Yes,8.3,0
88,Arjun Varma,IIT Kanpur,Biotechnology,2019,East,Female,ST,High,Rural,Employed,Public Sector,767812,0.9,1.6,7.0,508955,291700,177174,2.31,9.3,30,0.9,No,9.2,8
89,Ananya Gupta,IIM Bangalore,Data Science,2022,East,Male,ST,Middle,Rural,Employed,Education,728650,0.85,1.9,8.9,451769,163060,177372,2.66,8.6,22,0.9,Yes,9.7,5
90,Ira Singh,Manipal University,Psychology,2019,East,Male,OBC,High,Rural,Employed,Finance,911224,0.82,3.3,6.0,400905,168872,139209,3.48,7.7,13,0.8,No,7.7,8
91,Sai Bose,VIT Vellore,Psychology,2023,East,Female,OBC,Middle,Rural,Employed,IT,1072777,0.87,3.5,9.7,243806,152658,30437,5.03,8.6,11,0.93,Yes,9.2,0
92,Myra Mehta,IIT Madras,Data Science,2020,East,Male,General,Middle,Urban,Employed,Public Sector,1307832,0.83,2.4,7.0,699787,382752,70359,2.08,9.6,16,0.9,No,8.4,2
93,Aarav Joshi,SRM University,Data Science,2022,West,Male,OBC,High,Rural,Employed,Consulting,511991,0.84,1.7,9.0,240951,120575,12502,2.24,7.6,20,0.93,Yes,7.4,5
94,Ananya Desai,Manipal University,Marketing,2018,South,Male,SC,High,Rural,Employed,Finance,1038145,0.86,1.7,9.8,638002,289272,106277,1.95,9.1,19,0.87,No,9.8,7
95,Arjun Roy,Manipal University,Marketing,2019,South,Female,ST,High,Rural,Employed,Finance,923528,0.9,1.4,7.3,618449,348858,94839,1.76,7.2,11,0.91,Yes,8.7,8
96,Ira Iyer,VIT Vellore,Civil Engineering,2021,North,Female,General,High,Rural,Employed,Manufacturing,1043414,0.84,1.0,6.9,688179,349396,30270,1.59,8.7,19,0.88,No,9.0,1
97,Vihaan Bose,IIM Ahmedabad,Mechanical Engineering,2021,East,Male,General,Middle,Urban,Employed,Manufacturing,845257,0.86,3.0,8.6,292007,199415,95589,4.3,8.9,22,0.81,No,8.3,8
98,Arjun Pandey,IIT Bombay,Electrical Engineering,2018,North,Female,OBC,High,Urban,Employed,Education,969480,0.83,1.6,9.5,635494,404650,142723,1.97,8.3,17,0.76,No,8.1,1
99,Vihaan Bose,Jadavpur University,Computer Science,2021,North,Male,OBC,Low,Urban,Employed,IT,834966,0.84,3.7,8.3,406622,272546,105451,2.77,8.3,11,0.74,No,8.6,9
100,Anika Joshi,IIT Kanpur,Data Science,2018,East,Male,OBC,Middle,Rural,Employed,Manufacturing,556629,0.92,2.2,7.2,597952,345571,12290,0.95,9.9,22,0.9,No,9.8,2
101,Meera Mehta,IIT Kanpur,Civil Engineering,2021,West,Female,OBC,Middle,Urban,Employed,Manufacturing,946900,0.89,3.5,6.2,557286,234856,53303,1.88,8.0,24,0.91,Yes,7.2,6
102,Anika Bhat,IIT Delhi,Mechanical Engineering,2020,East,Male,OBC,Middle,Urban,Employed,IT,609100,0.87,1.7,7.3,372096,285985,30753,1.78,9.2,17,0.87,Yes,9.3,4
103,Myra Roy,Delhi University,Business Administration,2018,West,Female,SC,Middle,Rural,Employed,Public Sector,953995,0.84,3.8,8.3,485788,367821,97178,2.45,7.9,17,0.89,Yes,7.1,6
104,Ananya Nair,IIT Kanpur,Business Administration,2022,West,Male,ST,High,Urban,Employed,Consulting,1053677,0.83,3.2,8.0,419826,286187,128089,3.61,9.9,25,0.82,No,8.9,8
105,Vihaan Varma,IIT Delhi,Mechanical Engineering,2018,South,Male,General,Middle,Urban,Employed,Manufacturing,626471,0.8,2.6,7.6,159585,65327,29885,4.83,8.1,29,0.93,No,8.9,0
106,Navya Singh,Delhi University,Data Science,2022,North,Male,ST,Low,Urban,Employed,Manufacturing,829172,0.88,1.7,8.8,402674,159445,138007,3.13,7.8,22,0.72,No,8.1,4
107,Vivaan Patel,IIT Bombay,Economics,2023,North,Female,ST,High,Rural,Employed,IT,975734,0.84,3.7,8.8,329708,112543,113746,4.52,8.9,13,0.92,Yes,8.0,9
108,Pari Singh,IIT Delhi,Mechanical Engineering,2019,North,Female,General,Low,Rural,Employed,Manufacturing,752081,0.87,3.2,9.2,567643,433927,78453,1.54,7.5,22,0.87,No,7.7,1
109,Navya Pandey,IIT Delhi,Mechanical Engineering,2020,West,Female,OBC,Low,Rural,Employed,IT,1346884,0.81,2.9,9.2,436604,302031,118109,4.23,8.5,22,0.81,No,8.1,1
110,Vivaan Singh,IIT Madras,Economics,2018,North,Male,ST,Middle,Rural,Employed,IT,818753,0.82,1.3,8.2,473241,247205,70717,2.03,7.3,23,0.81,No,7.3,9
111,Anika Joshi,Christ University,Economics,2023,North,Male,SC,Middle,Rural,Employed,Healthcare,607396,0.83,1.8,7.2,696417,267975,199613,1.22,7.5,18,0.82,Yes,7.8,1
112,Aadhya Singh,IIT Kanpur,Psychology,2018,East,Male,ST,Low,Urban,Employed,Research,995436,0.85,2.8,8.8,498354,359216,99585,2.5,9.4,20,0.81,Yes,8.0,7
113,Diya Menon,BITS Pilani,Business Administration,2021,East,Female,ST,High,Urban,Employed,Education,775173,0.96,2.4,8.8,562022,271179,147810,1.87,7.6,15,0.87,Yes,10.0,7
114,Ananya Reddy,Christ University,Economics,2020,South,Female,OBC,High,Rural,Unemployed,,0,0.89,,,311630,204933,103425,0.0,8.1,29,0.82,No,8.3,6
115,Meera Patel,SRM University,Business Administration,2023,South,Male,General,Low,Rural,Unemployed,,0,0.84,,,196448,114256,52378,0.0,9.9,23,0.73,Yes,8.0,8
116,Navya Chatterjee,Jadavpur University,Marketing,2023,West,Male,ST,Middle,Rural,Employed,Manufacturing,948068,0.86,2.0,9.1,511724,408791,126555,2.46,7.3,12,0.73,Yes,8.2,8
117,Pari Pandey,Anna University,Mechanical Engineering,2018,East,Female,ST,Middle,Urban,Employed,Finance,1009114,0.86,2.3,7.8,173682,125848,14334,6.33,9.0,17,0.83,Yes,7.5,6
118,Sai Menon,VIT Vellore,Economics,2022,West,Female,General,High,Urban,Employed,Research,731571,0.86,1.6,6.5,557723,168557,56307,1.46,7.6,12,0.84,Yes,9.3,10
119,Pari Varma,VIT Vellore,Business Administration,2020,East,Female,ST,High,Urban,Employed,Public Sector,942021,0.85,1.5,8.8,330908,233908,77973,3.72,9.8,14,0.78,Yes,8.8,8
120,Myra Bose,Jadavpur University,Electrical Engineering,2022,South,Female,ST,Low,Rural,Employed,Manufacturing,818495,0.88,1.6,7.5,663426,294838,98093,1.45,7.9,11,0.92,Yes,8.4,8
121,Navya Mehta,BITS Pilani,Psychology,2022,North,Female,ST,Middle,Urban,Employed,IT,846190,0.89,1.3,6.5,381241,170050,72051,2.74,7.7,24,0.84,No,7.9,8
122,Aadhya Chatterjee,Christ University,Computer Science,2020,South,Female,OBC,Middle,Urban,Unemployed,,0,0.84,,,183796,96468,45688,0.0,9.6,13,0.89,Yes,7.3,9
123,Aadhya Bhat,VIT Vellore,Economics,2022,North,Male,OBC,Low,Urban,Employed,Consulting,638212,0.82,3.3,7.6,444739,266144,44139,1.59,8.0,19,0.84,Yes,9.1,0
124,Ishaan Nair,Manipal University,Electrical Engineering,2023,South,Male,OBC,High,Rural,Employed,Research,871557,0.87,3.2,8.8,663234,246116,140885,1.67,8.9,12,0.86,Yes,8.1,5
125,Ira Mehta,IIM Ahmedabad,Marketing,2018,East,Male,General,High,Rural,Employed,Research,912156,0.9,2.5,7.4,378411,296698,55535,2.83,8.5,19,0.78,Yes,8.0,10
126,Vihaan Patel,IIT Bombay,Psychology,2018,West,Male,General,Low,Rural,Employed,Research,524466,0.84,2.1,9.6,362146,288937,34580,1.6,9.6,18,0.72,No,7.9,2
127,Vihaan Chopra,VIT Vellore,Data Science,2018,North,Male,ST,High,Urban,Employed,Healthcare,612434,0.94,4.0,7.7,649968,220319,155629,1.24,7.7,10,0.7,No,9.0,2
128,Pari Reddy,IIT Kanpur,Economics,2020,East,Male,General,Low,Rural,Employed,Manufacturing,903009,0.9,1.5,7.4,551312,378602,197435,2.55,9.6,14,0.72,Yes,8.9,3
129,Arjun Bose,Jadavpur University,Psychology,2022,North,Male,General,Low,Urban,Employed,Research,1570546,0.93,3.1,9.4,518611,405358,82445,3.6,9.4,30,0.72,No,7.7,10
130,Ananya Kumar,Delhi University,Marketing,2021,South,Male,ST,Middle,Urban,Employed,Research,990800,0.82,3.6,8.3,268220,112797,83634,5.37,8.8,10,0.95,No,8.6,5
131,Meera Menon,SRM University,Psychology,2020,North,Male,General,High,Urban,Employed,Healthcare,930278,0.92,1.2,8.1,191761,145985,52163,6.66,8.5,26,0.89,No,8.9,9
132,Arjun Singh,IIT Bombay,Data Science,2022,West,Male,OBC,Low,Rural,Employed,Finance,645434,0.85,3.2,9.0,475236,308588,62557,1.56,7.2,23,0.73,Yes,7.3,1
133,Aarav Nair,Manipal University,Computer Science,2020,South,Male,ST,Middle,Rural,Employed,Manufacturing,752636,0.84,3.9,8.5,431819,287793,30947,1.88,9.3,23,0.77,Yes,7.1,7
134,Ira Varma,IIM Ahmedabad,Computer Science,2018,East,Female,OBC,Middle,Urban,Employed,Finance,1262931,0.87,1.5,9.7,389499,261116,673,3.25,7.1,17,0.71,No,9.6,0
135,Meera Bose,IIT Kanpur,Business Administration,2018,East,Male,ST,High,Rural,Employed,Consulting,426546,0.95,3.6,9.1,275200,151640,6903,1.59,7.5,11,0.94,Yes,9.4,4
136,Diya Reddy,Delhi University,Psychology,2023,East,Male,SC,Low,Rural,Employed,Healthcare,705613,0.83,3.8,6.1,636462,308134,129331,1.39,10.0,27,0.89,Yes,9.3,8
137,Aadhya Sharma,IIM Ahmedabad,Computer Science,2021,South,Female,SC,Low,Urban,Employed,Public Sector,1017790,0.92,2.1,9.9,212804,167323,18661,5.24,9.1,17,0.92,No,7.3,1
138,Saanvi Iyer,Delhi University,Electrical Engineering,2023,West,Female,General,High,Urban,Employed,Manufacturing,656939,0.84,3.8,6.5,398273,177565,82577,2.08,9.8,20,0.78,No,8.2,9
139,Aditya Nair,IIT Bombay,Electrical Engineering,2022,North,Female,ST,Middle,Rural,Employed,Consulting,935919,0.94,3.1,6.2,367722,193406,121463,3.8,7.8,15,0.9,No,7.4,5
140,Arjun Reddy,Manipal University,Civil Engineering,2020,East,Female,ST,High,Urban,Employed,Manufacturing,809114,0.82,1.2,9.1,182591,141699,59270,6.56,8.7,13,0.82,Yes,8.7,3
